country,gini,income,happiness,life expectancy
Afghanistan,39,1970,24,64
Angola,53,1520,0,65.8
Albania,34.5,3560,52,78.7
Andorra,35,#N/A,#N/A,0
United Arab Emirates,26.7,35.3k,65.8,74.2
Argentina,44.6,12.1k,59.7,76.9
Armenia,31.2,2850,54,76
Antigua and Barbuda,37,12k,#N/A,76.5
Australia,34.4,22.8k,71.6,83.2
Austria,32.2,20.8k,71.6,82.4
Azerbaijan,28.3,4830,51.7,71.2
Burundi,41.7,537,0,64.5
Belgium,28.6,19k,68,81.7
Benin,49.6,1160,46.2,65.1
Burkina Faso,36.6,1210,46.7,62.5
Bangladesh,33.8,2320,51.5,75.1
Bulgaria,42.7,8550,53.7,73.6
Bahrain,36.3,16.1k,66.5,77.3
Bahamas,44,12.3k,#N/A,73.6
Bosnia and Herzegovina,33.9,9700,57.7,77.3
Belarus,26.6,7310,58.2,74.3
Belize,53,3980,0,74.7
Bolivia,43,5330,56,72.5
Brazil,56.1,6050,62.9,76.3
Barbados,43.9,10.3k,#N/A,76.4
Brunei,35,10.9k,#N/A,74.6
Bhutan,37.3,4910,0,73.8
Botswana,54,4420,34.7,62.5
Central African Republic,59.4,751,0,53.1
Canada,34.9,22.3k,70.3,82.5
Switzerland,34.5,24.9k,75.1,84.3
Chile,46,8580,61.7,80.5
China,39.1,5480,55.9,78
Cote d'Ivoire,43,1900,52.4,64.9
Cameroon,48.3,2260,50.5,64
"Congo, Dem. Rep.",44.7,669,0,65.7
"Congo, Rep.",50.7,1560,50.8,65.9
Colombia,53,5820,57.8,80.5
Comoros,45.1,2220,46.1,69.2
Cape Verde,42.4,4000,#N/A,74.1
Costa Rica,49.5,9700,65.8,80.5
Cuba,44.1,14.1k,0,78.9
Cyprus,32.7,17.3k,62.2,81.1
Czech Republic,26.5,11.7k,69.2,79.7
Germany,33.5,21k,70.3,81.5
Djibouti,41.6,2400,0,67.5
Dominica,38.2,8120,#N/A,0
Denmark,29.5,19.9k,76.4,81.4
Dominican Republic,43.2,6650,57.4,73.5
Algeria,28.6,3170,51.2,76.6
Ecuador,47.3,4060,55.3,76.8
Egypt,32.9,2550,42.9,71.3
Eritrea,44,996,#N/A,64.5
Spain,36.4,15.4k,64.8,83.3
Estonia,31,11.9k,63.4,78.3
Ethiopia,37,2140,42.4,69.6
Finland,27.3,18.7k,78.2,82.2
Fiji,36.3,3530,#N/A,68.6
France,34.1,20.6k,66.9,83.1
"Micronesia, Fed. Sts.",40.6,1910,#N/A,64.3
Gabon,37.9,2750,49.6,68.2
United Kingdom,37.7,19.1k,69.4,81.3
Georgia,37.3,2990,49.7,73.7
Ghana,43.5,2920,48.7,66.9
Guinea,35,1160,48.9,61.9
Gambia,35,1240,51.6,67.5
Guinea-Bissau,52.8,989,#N/A,61.6
Equatorial Guinea,37.3,4930,#N/A,66.7
Greece,34.2,8770,59.5,81.3
Grenada,37.5,10.8k,#N/A,73.4
Guatemala,49.4,3390,62.6,73
Guyana,45.2,4500,0,67.5
"Hong Kong, China",53.7,38k,54.3,84.7
Honduras,49.5,3010,60.2,72.4
Holy See,40,#N/A,#N/A,#N/A
Croatia,31.1,7740,61.3,79
Haiti,62.1,1570,0,64.4
Hungary,31.1,9190,60.9,76.9
Indonesia,40.3,2620,52.4,71.8
India,38.4,2360,37.8,71.2
Ireland,32.7,24.8k,70.4,82.3
Iran,43.8,6910,48.9,78.2
Iraq,31,2510,49.4,73.6
Iceland,26.1,20.7k,75.6,84.4
Israel,39.8,13.3k,73.6,83.3
Italy,37.7,15.1k,64.7,83.4
Jamaica,46,4710,58.5,76.5
Jordan,35.4,3500,41.5,78.5
Japan,34.3,15.8k,60.4,85.1
Kazakhstan,29.2,4340,62.3,72.3
Kenya,42,2290,45.4,67
Kyrgyz Republic,31,2210,58.3,73.7
Cambodia,40.9,2990,46.4,70.3
Kiribati,37,1780,#N/A,61.2
St. Kitts and Nevis,36.6,15.8k,#N/A,0
South Korea,32.1,17.6k,59.4,83.2
Kuwait,36.1,17.3k,61.1,81.7
Lao,38.8,2210,51.4,69.6
Lebanon,33.1,7160,29.6,76.8
Liberia,36.8,1030,51.2,66.7
Libya,39,14.4k,53.3,76.3
St. Lucia,51.2,1440,#N/A,75.4
Liechtenstein,40,#N/A,#N/A,#N/A
Sri Lanka,40.2,3990,43.6,77.6
Lesotho,46.4,1270,35.1,52.6
Lithuania,37,10.8k,64.5,76.5
Luxembourg,35.4,28.9k,74,83.2
Latvia,35.8,14.3k,61.8,76.1
Morocco,40.8,4390,50.6,73.8
Monaco,34.8,#N/A,#N/A,0
Moldova,27,4250,58.6,74.6
Madagascar,45.4,620,43.4,66.2
Maldives,31.3,3120,0,79.6
Mexico,48,4380,61.3,75.8
Marshall Islands,40.3,#N/A,#N/A,0
North Macedonia,34.3,4780,52,74.6
Mali,33.7,1010,44.8,62.6
Malta,28.7,11k,64.5,82.9
Myanmar,32.1,2970,43.9,69.9
Montenegro,37.8,6370,55.5,76.1
Mongolia,33.5,4620,57.6,68.5
Mozambique,56.6,1100,50.5,59.3
Mauritania,32.5,2270,41.5,71.2
Mauritius,36.8,5730,60.7,75.8
Malawi,46.5,830,37.5,65.6
Malaysia,41.8,10.4k,57.1,75.3
Namibia,59.6,3880,44.6,65.9
Niger,36,1090,50,63.2
Nigeria,36.7,1120,45.5,65.1
Nicaragua,46.3,4890,61.6,75.8
Netherlands,29.5,19.9k,74.2,82
Norway,27.6,27k,73.7,83.2
Nepal,33.2,1910,53.8,71.6
Nauru,34.1,#N/A,#N/A,0
New Zealand,35.2,20.9k,72,82.1
Oman,37.9,9850,0,74.4
Pakistan,33.1,2070,45.2,66.2
Panama,51.2,10.6k,63.1,80.4
Peru,43.8,5950,55.6,80.7
Philippines,43.7,3190,59,72.1
Palau,37.4,2230,#N/A,0
Papua New Guinea,42.9,1740,#N/A,65.1
Poland,31.8,9150,61.2,78.4
North Korea,42,1130,#N/A,73.5
Portugal,34.9,10.5k,60.2,82.1
Paraguay,47.1,7280,55.8,76.8
Palestine,34.9,4390,44.8,75.1
Qatar,34.2,18.1k,0,76.5
Romania,37.3,4880,64.8,75.8
Russia,39.7,8420,54.6,73.3
Rwanda,45.3,1380,32.7,69.2
Saudi Arabia,36.8,15.5k,65.2,74.8
Sudan,35.6,2280,0,71
Senegal,41.9,1460,50.5,69
Singapore,40.9,23.4k,64.8,85.1
Solomon Islands,38,1420,#N/A,59.4
Sierra Leone,37.2,1160,35.7,62.6
El Salvador,40.1,4170,61.2,76.2
San Marino,35,#N/A,#N/A,0
Somalia,38.6,408,0,59.1
Serbia,31.7,5760,61.8,76
South Sudan,46.8,589,0,64.3
Sao Tome and Principe,32.4,1390,#N/A,71.3
Suriname,61,3470,0,73
Slovak Republic,26.4,10k,63.9,77.8
Slovenia,25.9,14.3k,66.3,81.7
Sweden,31.3,21.9k,73.8,83.1
Eswatini,56.1,1480,0,59.1
Seychelles,32.1,10.2k,#N/A,73.7
Syria,38.8,1420,0,75.8
Chad,45,1150,42.5,61
Togo,44.5,1190,41.1,65.7
Thailand,35.7,6770,58.9,78.8
Tajikistan,34.1,2810,53.8,70
Turkmenistan,44.7,5140,54.7,71.1
Timor-Leste,30.3,847,#N/A,71
Tonga,37.6,4180,#N/A,73.2
Trinidad and Tobago,41.8,9080,0,75.1
Tunisia,34.3,4220,45.2,78.1
Turkey,43.5,7830,47.4,78.9
Tuvalu,39.1,3230,#N/A,0
Taiwan,31.5,#N/A,65.1,80.6
Tanzania,42,1350,37,67.9
Uganda,44.6,1460,46,66.9
Ukraine,28.2,4530,50.8,74.1
Uruguay,40.4,10.6k,64.7,77.8
United States,44,25.8k,69.8,79
Uzbekistan,35,1920,60.6,68.7
St. Vincent and the Grenadines,38.1,7800,#N/A,73.2
Venezuela,45.1,7390,49.3,75.1
Vietnam,36.6,4210,54.9,74.7
Vanuatu,37.6,1750,#N/A,65.7
Samoa,38.7,3860,#N/A,70.7
Yemen,38.5,978,42,67.9
South Africa,64.9,4450,51.9,65.6
Zambia,58.9,1230,37.6,63.8
Zimbabwe,51.8,2480,29.9,61.5
