country,happiness,income,life expectancy,gini
Afghanistan,24.0,,,
Angola,,,,
Albania,52.0,,,
United Arab Emirates,65.8,,,
Argentina,59.7,,,
Armenia,54.0,,,
Australia,71.6,,,
Austria,71.6,,,
Azerbaijan,51.7,,,
Burundi,,,,
Belgium,68.0,,,
Benin,46.2,,,
Burkina Faso,46.7,,,
Bangladesh,51.5,,,
Bulgaria,53.7,,,
Bahrain,66.5,,,
Bosnia and Herzegovina,57.7,,,
Belarus,58.2,,,
Belize,,,,
Bolivia,56.0,,,
Brazil,62.9,,,
Bhutan,,,,
Botswana,34.7,,,
Central African Republic,,,,
Canada,70.3,,,
Switzerland,75.1,,,
Chile,61.7,,,
China,55.9,,,
Cote d'Ivoire,52.4,,,
Cameroon,50.5,,,
"Congo, Dem. Rep.",,,,
"Congo, Rep.",50.8,,,
Colombia,57.8,,,
Comoros,46.1,,,
Costa Rica,65.8,,,
Cuba,,,,
Cyprus,62.2,,,
Czech Republic,69.2,,,
Germany,70.3,,,
Djibouti,,,,
Denmark,76.4,,,
Dominican Republic,57.4,,,
Algeria,51.2,,,
Ecuador,55.3,,,
Egypt,42.9,,,
Spain,64.8,,,
Estonia,63.4,,,
Ethiopia,42.4,,,
Finland,78.2,,,
France,66.9,,,
Gabon,49.6,,,
United Kingdom,69.4,,,
Georgia,49.7,,,
Ghana,48.7,,,
Guinea,48.9,,,
Gambia,51.6,,,
Greece,59.5,,,
Guatemala,62.6,,,
Guyana,,,,
"Hong Kong, China",54.3,,,
Honduras,60.2,,,
Croatia,61.3,,,
Haiti,,,,
Hungary,60.9,,,
Indonesia,52.4,,,
India,37.8,,,
Ireland,70.4,,,
Iran,48.9,,,
Iraq,49.4,,,
Iceland,75.6,,,
Israel,73.6,,,
Italy,64.7,,,
Jamaica,58.5,,,
Jordan,41.5,,,
Japan,60.4,,,
Kazakhstan,62.3,,,
Kenya,45.4,,,
Kyrgyz Republic,58.3,,,
Cambodia,46.4,,,
South Korea,59.4,,,
Kuwait,61.1,,,
Lao,51.4,,,
Lebanon,29.6,,,
Liberia,51.2,,,
Libya,53.3,,,
Sri Lanka,43.6,,,
Lesotho,35.1,,,
Lithuania,64.5,,,
Luxembourg,74.0,,,
Latvia,61.8,,,
Morocco,50.6,,,
Moldova,58.6,,,
Madagascar,43.4,,,
Maldives,,,,
Mexico,61.3,,,
North Macedonia,52.0,,,
Mali,44.8,,,
Malta,64.5,,,
Myanmar,43.9,,,
Montenegro,55.5,,,
Mongolia,57.6,,,
Mozambique,50.5,,,
Mauritania,41.5,,,
Mauritius,60.7,,,
Malawi,37.5,,,
Malaysia,57.1,,,
Namibia,44.6,,,
Niger,50.0,,,
Nigeria,45.5,,,
Nicaragua,61.6,,,
Netherlands,74.2,,,
Norway,73.7,,,
Nepal,53.8,,,
New Zealand,72.0,,,
Oman,,,,
Pakistan,45.2,,,
Panama,63.1,,,
Peru,55.6,,,
Philippines,59.0,,,
Poland,61.2,,,
Portugal,60.2,,,
Paraguay,55.8,,,
Palestine,44.8,,,
